uid,name,length,zlib,hash
NC_001474.2,"Dengue virus 2, complete genome",10723,3287,68980f8a7ef460fd
NC_001498.1,"Measles virus, complete genome",15894,4871,a5ffff87c0800000
NC_001542.1,"Rabies virus, complete genome",11932,3714,283bcb250dbbb7bc
NC_001545.2,"Rubella virus, complete genome",9762,2938,10fafe86086dab91
NC_001563.2,"West Nile virus lineage 2, complete genome",10962,3390,4c9ef9a49ecc961f
NC_001802.1,"Human immunodeficiency virus 1, complete genome",9181,2792,dc4808023a140eff
NC_002200.1,"Mumps orthorubulavirus genomic RNA, complete genome",15384,4712,ee1f21bc34600381
NC_004102.1,"Hepatitis C virus genotype 1, complete genome",9646,3020,fb4a47932a2f2881
NC_004718.3,"SARS coronavirus Tor2, complete genome",29751,8891,ff0243c42300d0ff
NC_006432.1,"Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome",18875,5728,ef9effbf009bcf00
NC_012532.1,"Zika virus, complete genome",10794,3339,ac1589d8d9d664eb
NC_019843.3,"Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome",30119,9046,fb003424c002d3ff
NC_045512.2,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",29903,8859,df0201ace7047dff
